ID. Participant ID,,Clip,Start,End,,Rate or restate,E3,E4,e5
"HOIproc1swing[S1_ALT]. the page. [The swing swung because the man pushed it with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOIproc1swing,35,101,The swing swung because the man pushed it with the tennis racquet.,Restate,,,
HOIproc1swing[S2_ABCD]. the page. [The swing swung because of the man.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOIproc1swing,36,71,The swing swung because of the man.,Rate,C,,C
"HOIproc1swing[S2_ALT]. the page. [The swing swung because of the man.][Is there a way you could make this description better, maybe by changing a word?]",,HOIproc1swing,35,70,The swing swung because of the man.,Restate,,,
HOIproc1swing[S3_ABCD]. the page. [The man caused the swing to swing with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOIproc1swing,36,94,The man caused the swing to swing with the tennis racquet.,Rate,D,,D
"HOIproc1swing[S3_ALT]. the page. [The man caused the swing to swing with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOIproc1swing,35,93,The man caused the swing to swing with the tennis racquet.,Restate,,,
HOIproc1swing[S4_ABCD]. the page. [The man made the swing swing with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOIproc1swing,36,89,The man made the swing swing with the tennis racquet.,Rate,D,,D
"HOIproc1swing[S4_ALT]. the page. [The man made the swing swing with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOIproc1swing,35,88,The man made the swing swing with the tennis racquet.,Restate,,,
HOIproc1swing[S5_ABCD]. the page. [The man pushed the swing so hard with the tennis racquet that it swung.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOIproc1swing,36,107,The man pushed the swing so hard with the tennis racquet that it swung.,Rate,C,,C
"HOIproc1swing[S5_ALT]. the page. [The man pushed the swing so hard with the tennis racquet that it swung.][Is there a way you could make this description better, maybe by changing a word?]",,HOIproc1swing,35,106,The man pushed the swing so hard with the tennis racquet that it swung.,Restate,,,
HOIproc1swing[S6_ABCD]. the page. [The man swung the swing with the tennis racquet][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOIproc1swing,36,83,The man swung the swing with the tennis racquet,Rate,D,,D
"HOIproc1swing[S6_ALT]. the page. [The man swung the swing with the tennis racquet][Is there a way you could make this description better, maybe by changing a word?]",,HOIproc1swing,35,82,The man swung the swing with the tennis racquet,Restate,,,
HUO3paper[S1_ABCD]. the page. [The woman scared the other woman into tearing the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,88,The woman scared the other woman into tearing the paper.,Rate,D,C,D
"HUO3paper[S1_ALT]. the page. [The woman scared the other woman into tearing the paper.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,87,The woman scared the other woman into tearing the paper.,Restate,, The woman scared the other woman causing her to tear the paper. ,
HUO3paper[S2_ABCD]. the page. [The woman tore the paper because the other woman scared her.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,92,The woman tore the paper because the other woman scared her.,Rate,D,D,D
"HUO3paper[S2_ALT]. the page. [The woman tore the paper because the other woman scared her.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,91,The woman tore the paper because the other woman scared her.,Restate,,,
HUO3paper[S3_ABCD]. the page. [The woman tore the paper because of the other woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,84,The woman tore the paper because of the other woman.,Rate,C,C,C
"HUO3paper[S3_ALT]. the page. [The woman tore the paper because of the other woman.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,83,The woman tore the paper because of the other woman.,Restate,,The woman accidentally tore the paper because of the other woman.,
HUO3paper[S4_ABCD]. the page. [The woman in the purple shirt caused the paper to tear.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,87,The woman in the purple shirt caused the paper to tear.,Rate,D,C,B
"HUO3paper[S4_ALT]. the page. [The woman in the purple shirt caused the paper to tear.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,86,The woman in the purple shirt caused the paper to tear.,Restate,,,
HUO3paper[S5_ABCD]. the page. [The woman caused the other woman to tear the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,83,The woman caused the other woman to tear the paper.,Rate,C,D,C
"HUO3paper[S5_ALT]. the page. [The woman caused the other woman to tear the paper.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,82,The woman caused the other woman to tear the paper.,Restate,,,
HUO3paper[S6_ABCD]. the page. [The woman in the purple shirt made the paper tear.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,82,The woman in the purple shirt made the paper tear.,Rate,C,C,C
"HUO3paper[S6_ALT]. the page. [The woman in the purple shirt made the paper tear.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,81,The woman in the purple shirt made the paper tear.,Restate,, The woman in the purple shirt inadvertantly made the paper tear. ,
HUO3paper[S7_ABCD]. the page. [The woman made the other woman tear the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,78,The woman made the other woman tear the paper.,Rate,C,C,C
"HUO3paper[S7_ALT]. the page. [The woman made the other woman tear the paper.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,77,The woman made the other woman tear the paper.,Restate,,,
HUO3paper[S8_ABCD]. the page. [The woman in the purple shirt tore the paper in half.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,85,The woman in the purple shirt tore the paper in half.,Rate,B,B,B
"HUO3paper[S8_ALT]. the page. [The woman in the purple shirt tore the paper in half.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,84,The woman in the purple shirt tore the paper in half.,Restate,,,
HUO3paper[S9_ABCD]. the page. [The woman scared the other woman so much that she tore the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,32,97,The woman scared the other woman so much that she tore the paper.,Rate,D,D,D
"HUO3paper[S9_ALT]. the page. [The woman scared the other woman so much that she tore the paper.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,31,96,The woman scared the other woman so much that she tore the paper.,Restate,,,
HUO3paper[S10_ABCD]. the page. [The woman in the purple shirt tore the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HUO3paper,33,78,The woman in the purple shirt tore the paper.,Rate,B,B,B
"HUO3paper[S10_ALT]. the page. [The woman in the purple shirt tore the paper.][Is there a way you could make this description better, maybe by changing a word?]",,HUO3paper,32,77,The woman in the purple shirt tore the paper.,Restate,,,
HO2egg[S1_ABCD]. the page. [The egg broke because the woman tapped it against the bowl.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,88,The egg broke because the woman tapped it against the bowl.,Rate,D,D,B
"HO2egg[S1_ALT]. the page. [The egg broke because the woman tapped it against the bowl.][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,87,The egg broke because the woman tapped it against the bowl.,Restate,,,
HO2egg[S2_ABCD]. the page. [The egg broke because of the woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,64,The egg broke because of the woman.,Rate,C,D,B
"HO2egg[S2_ALT]. the page. [The egg broke because of the woman.][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,63,The egg broke because of the woman.,Restate,,,
HO2egg[S3_ABCD]. the page. [The woman caused the egg to crack.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,63,The woman caused the egg to crack.,Rate,C,D,C
"HO2egg[S3_ALT]. the page. [The woman caused the egg to crack.][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,62,The woman caused the egg to crack.,Restate,,,
HO2egg[S4_ABCD]. the page. [The woman made the egg break.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,58,The woman made the egg break.,Rate,C,C,C
"HO2egg[S4_ALT]. the page. [The woman made the egg break.][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,57,The woman made the egg break.,Restate,, The woman broke the egg.,
HO2egg[S5_ABCD]. the page. [The woman cracked an egg into the bowl.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,68,The woman cracked an egg into the bowl.,Rate,D,D,D
"HO2egg[S5_ALT]. the page. [The woman cracked an egg into the bowl.][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,67,The woman cracked an egg into the bowl.,Restate,,,
HO2egg[S6_ABCD]. the page. [The woman hit the egg so hard that it broke.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,73,The woman hit the egg so hard that it broke.,Rate,B,D,B
"HO2egg[S6_ALT]. the page. [The woman hit the egg so hard that it broke.][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,72,The woman hit the egg so hard that it broke.,Restate,,,
HO2egg[S7_ABCD]. the page. [The woman cracked an egg][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO2egg,29,53,The woman cracked an egg,Rate,D,D,D
"HO2egg[S7_ALT]. the page. [The woman cracked an egg][Is there a way you could make this description better, maybe by changing a word?]",,HO2egg,28,52,The woman cracked an egg,Restate,,,
NM2reporter[S1_ABCD]. the page. [The reporter fell over because of the wind.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NM2reporter,34,77,The reporter fell over because of the wind.,Rate,D,D,D
"NM2reporter[S1_ALT]. the page. [The reporter fell over because of the wind.][Is there a way you could make this description better, maybe by changing a word?]",,NM2reporter,33,76,The reporter fell over because of the wind.,Restate,,,
NM2reporter[S2_ABCD]. the page. [The wind caused the reporter to fall over.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NM2reporter,34,76,The wind caused the reporter to fall over.,Rate,D,D,D
"NM2reporter[S2_ALT]. the page. [The wind caused the reporter to fall over.][Is there a way you could make this description better, maybe by changing a word?]",,NM2reporter,33,75,The wind caused the reporter to fall over.,Restate,,,
NM2reporter[S3_ABCD]. the page. [The wind made the reporter fall over.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NM2reporter,34,71,The wind made the reporter fall over.,Rate,D,D,D
"NM2reporter[S3_ALT]. the page. [The wind made the reporter fall over.][Is there a way you could make this description better, maybe by changing a word?]",,NM2reporter,33,70,The wind made the reporter fall over.,Restate,,,
NM2reporter[S4_ABCD]. the page. [The reporter was blown away by the wind][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NM2reporter,34,73,The reporter was blown away by the wind,Rate,D,C,D
"NM2reporter[S4_ALT]. the page. [The reporter was blown away by the wind][Is there a way you could make this description better, maybe by changing a word?]",,NM2reporter,33,72,The reporter was blown away by the wind,Restate,, The reporter was blown down by the wind ,
NM2reporter[S5_ABCD]. the page. [The wind blew so hard that the reporter fell over.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NM2reporter,34,84,The wind blew so hard that the reporter fell over.,Rate,D,D,D
"NM2reporter[S5_ALT]. the page. [The wind blew so hard that the reporter fell over.][Is there a way you could make this description better, maybe by changing a word?]",,NM2reporter,33,83,The wind blew so hard that the reporter fell over.,Restate,,,
HOI4ball[S1_ABCD]. the page. [The ball flew off the bench because the man hit it with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI4ball,31,106,The ball flew off the bench because the man hit it with the tennis racquet.,Rate,D,D,D
"HOI4ball[S1_ALT]. the page. [The ball flew off the bench because the man hit it with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOI4ball,30,105,The ball flew off the bench because the man hit it with the tennis racquet.,Restate,,,
HOI4ball[S2_ABCD]. the page. [The ball flew off the bench because of the man with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI4ball,31,102,The ball flew off the bench because of the man with the tennis racquet.,Rate,C,C,C
"HOI4ball[S2_ALT]. the page. [The ball flew off the bench because of the man with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOI4ball,30,101,The ball flew off the bench because of the man with the tennis racquet.,Restate,, The ball was knocked off the bench because of the man with the tennis racquet. ,
HOI4ball[S3_ABCD]. the page. [The man caused the ball to fly off the bench with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI4ball,31,100,The man caused the ball to fly off the bench with the tennis racquet.,Rate,D,C,C
"HOI4ball[S3_ALT]. the page. [The man caused the ball to fly off the bench with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOI4ball,30,99,The man caused the ball to fly off the bench with the tennis racquet.,Restate,, The man with the tennis racquet caused the ball to fly off the bench.,
HOI4ball[S4_ABCD]. the page. [The man made the ball fly off the bench with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI4ball,31,95,The man made the ball fly off the bench with the tennis racquet.,Rate,D,D,C
"HOI4ball[S4_ALT]. the page. [The man made the ball fly off the bench with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOI4ball,30,94,The man made the ball fly off the bench with the tennis racquet.,Restate,,,
HOI4ball[S5_ABCD]. the page. [The man hit the ball off the bench with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI4ball,31,90,The man hit the ball off the bench with the tennis racquet.,Rate,D,D,D
"HOI4ball[S5_ALT]. the page. [The man hit the ball off the bench with the tennis racquet.][Is there a way you could make this description better, maybe by changing a word?]",,HOI4ball,30,89,The man hit the ball off the bench with the tennis racquet.,Restate,,,
HOI4ball[S6_ABCD]. the page. [The man hit the ball so hard that it flew off the bench.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI4ball,31,87,The man hit the ball so hard that it flew off the bench.,Rate,D,D,B
"HOI4ball[S6_ALT]. the page. [The man hit the ball so hard that it flew off the bench.][Is there a way you could make this description better, maybe by changing a word?]",,HOI4ball,30,86,The man hit the ball so hard that it flew off the bench.,Restate,,,
HO5cuptower[S1_ABCD]. the page. [The stack of cups fell down because the man hit it.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,85,The stack of cups fell down because the man hit it.,Rate,D,D,D
"HO5cuptower[S1_ALT]. the page. [The stack of cups fell down because the man hit it.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,84,The stack of cups fell down because the man hit it.,Restate,,,
HO5cuptower[S2_ABCD]. the page. [The stack of cups fell down because of the man.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,81,The stack of cups fell down because of the man.,Rate,C,D,C
"HO5cuptower[S2_ALT]. the page. [The stack of cups fell down because of the man.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,80,The stack of cups fell down because of the man.,Restate,,,
HO5cuptower[S3_ABCD]. the page. [The man caused the stack of cups to fall down.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,80,The man caused the stack of cups to fall down.,Rate,D,D,D
"HO5cuptower[S3_ALT]. the page. [The man caused the stack of cups to fall down.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,79,The man caused the stack of cups to fall down.,Restate,,,
HO5cuptower[CONTROL_ABCD]. the page. [The man put a cup on the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,39,78,The man put a cup on the stack of cups.,Rate,B,B,B
"HO5cuptower[CONTROL_ALT]. the page. [The man put a cup on the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,38,77,The man put a cup on the stack of cups.,Restate,,,
HO5cuptower[S5_ABCD]. the page. [The man made the stack of cups fall down.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,75,The man made the stack of cups fall down.,Rate,C,D,D
"HO5cuptower[S5_ALT]. the page. [The man made the stack of cups fall down.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,74,The man made the stack of cups fall down.,Restate,,,
HO5cuptower[S6_ABCD]. the page. [The man knocked over the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,73,The man knocked over the stack of cups.,Rate,D,D,B
"HO5cuptower[S6_ALT]. the page. [The man knocked over the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,72,The man knocked over the stack of cups.,Restate,,,
HO5cuptower[S7_ABCD]. the page. [The man hit the stack of cups so hard that it fell down.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,90,The man hit the stack of cups so hard that it fell down.,Rate,,C,C
"HO5cuptower[S7_ALT]. the page. [The man hit the stack of cups so hard that it fell down.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,89,The man hit the stack of cups so hard that it fell down.,Restate,, The man hit the stack of cups so it fell down. ,
HO5cuptower[S8_ABCD]. the page. [The man destroyed the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO5cuptower,34,70,The man destroyed the stack of cups.,Rate,C,D,B
"HO5cuptower[S8_ALT]. the page. [The man destroyed the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HO5cuptower,33,69,The man destroyed the stack of cups.,Restate,,,
UO1egg[S1_ABCD]. the page. [One or two of the eggs broke because the woman tripped.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO1egg,29,84,One or two of the eggs broke because the woman tripped.,Rate,D,D,D
"UO1egg[S1_ALT]. the page. [One or two of the eggs broke because the woman tripped.][Is there a way you could make this description better, maybe by changing a word?]",,UO1egg,28,83,One or two of the eggs broke because the woman tripped.,Restate,,,
UO1egg[S2_ABCD]. the page. [One or two of the eggs broke because of the woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO1egg,29,79,One or two of the eggs broke because of the woman.,Rate,D,D,C
"UO1egg[S2_ALT]. the page. [One or two of the eggs broke because of the woman.][Is there a way you could make this description better, maybe by changing a word?]",,UO1egg,28,78,One or two of the eggs broke because of the woman.,Restate,,,
UO1egg[S3_ABCD]. the page. [The woman caused one or two of the eggs to break.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO1egg,29,78,The woman caused one or two of the eggs to break.,Rate,D,D,C
"UO1egg[S3_ALT]. the page. [The woman caused one or two of the eggs to break.][Is there a way you could make this description better, maybe by changing a word?]",,UO1egg,28,77,The woman caused one or two of the eggs to break.,Restate,,,
